Income Budget,,,,Actual Income,,,,***Notes,,,,,
Current Income, Expected Amount ,Date,,Current Income, Actual Amount ,Date,,"Text in Column G must match exactly with Column A for Expenses under ""Category"". This will allow the formula to add the amounts for each category.",,,,,
Job Paycheck 1," $ 4,000.00 ",12/8/2023,,Job Paycheck 1," $ 1,700.00 ",12/8/2023,,The colors match for the associated colums. The totals for each amount for each category in Column H will be summed in Column C. The wording in the Category Columns (A and G) must match exactly with each other for this to work.,,,,,
,,,,Job Paycheck 2," $ 1,700.00 ",12/22/2023,,"If numbers are not adding up, double click the cell to make sure the formulas are there and correct.",,,,,
,,,,,,,,Adding and moving cells could cause formulas and references to shift. Just edit the spreadsheet as needed and watch tutorials if you have questions.,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total," $ 4,000.00 ",,,Total," $ 3,400.00 ",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Expenses Budget,,,,Actual Expenses,,,,,,,***1X = 1%,,
Category, Expected Amount ,Actual Amount,,Current Expenses,Vendor,Category, Amount Paid ,Date,Payment Method,Card Used,Cash Back Rate,Cash Back Earned,Other Cash Back
Rent," $ 1,600.00 ", $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Groceries, $ 500.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Car Payment, $ 300.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Miscellaneous, $ 300.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Shopping, $ 125.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Dining, $ 120.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Gas for Car, $ 100.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Gas and Electric, $ 50.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Coffee, $ 50.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Cell Phone Bill, $ 50.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Water, $ 30.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Sewage, $ 30.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Gym, $ 30.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Internet, $ 30.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Parking, $ 25.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Spotify, $ 15.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Apple iCloud, $ 15.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Netflix, $ 15.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Apple TV, $ 15.00 , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Other, $ -   , $ -   ,,,,,,,,,0.00%, $ -   , $ -   
Total," $ 3,400.00 ", $ -   ,,,,,,,,,0.00%, $ -   , $ -   
,,,,,,,,,,,0.00%, $ -   , $ -   
Profit (Income - Expenses), $ 600.00 ," $ 3,400.00 ",,,,,,,,,0.00%, $ -   , $ -   
Savings Rate,15%,100%,,,,,,,,,0.00%, $ -   , $ -   
,,,,,,,,,,,0.00%, $ -   , $ -   
